time,X,Y,Z,dE,dN,dU,d3,n_sat
2004-05-03 22:40:00,-1333781451.5903654,-246102354.20760775,3375092280.15001,-1051093172.7222877,856930761.6583605,3368238367.539161,3630999433.8449926,5
2004-05-03 22:40:10,-4115419168.2016735,-708827768.1888686,-6961760617.722105,-3205084676.2043557,2676805427.163038,-6968614530.332953,8124004157.365815,5
2004-05-03 22:40:20,845632649.0055783,-592550368.3001664,497541608.6542064,96324509.89835438,-1028090381.4470899,490687696.0433576,1143250916.7630348,5
2004-05-03 22:40:30,3059956910.3561726,546985527.0650206,-6296158011.878953,2398632924.033464,-1977379566.8033051,-6303011924.489801,7027903611.727268,5
2004-05-03 22:40:40,-1287441235.889822,-803150801.8059298,4363373418.428352,-1445539982.6772673,460872555.482534,4356519505.817504,4613160690.728644,5
2004-05-03 22:40:50,-574630483.1798036,710204415.0005559,-535678507.07629013,169219737.0368295,897786996.7674143,-542532419.6871389,1062543287.2965924,5
2004-05-03 22:41:00,-845798600.7399207,-298127480.07444584,847435716.3246329,-774714223.9808992,451408193.68193746,840581803.7137841,1229035904.6408024,5
2004-05-03 22:41:10,-506192975.62490594,-257897716.95807633,1241897631.3722408,-524129384.9860056,218690225.06743103,1235043718.761392,1359363826.941787,5
2004-05-03 22:41:20,-320965044.02816224,389892349.51675916,2007131710.7831755,89425280.95941925,497064126.07770526,2000277798.1723268,2063051355.6790571,5
2004-05-03 22:41:30,-228775087.54302454,149468264.36296606,-4825741793.283081,-34069075.40424353,271117511.2655007,-4832595705.8939295,4840314727.725682,5
2004-05-03 22:41:40,4809671099.487113,-295460864.3773656,9033117882.33813,2889835814.368,-3856191794.4161243,9026263969.727282,10232048056.988548,5
2004-05-03 22:41:50,-809916776.8627031,51072618.87258291,19847456.23768878,-485395157.75601393,650211343.325324,12993543.626840048,811512219.4630779,5
2004-05-03 22:42:00,-533628198.52593076,-1211298640.479145,-2154563835.7957306,-1268364342.6636908,-377833320.31611073,-2161417748.4065795,2534409755.1123734,5
