time,X,Y,Z,dX,dY,dZ,dE,dN,dU,n_sat
1714442970.0,3330804.332297166,4622892.306674676,-3823556.33621334,3611741.115397619,11337031.898741897,-2454548.169278697,3134627.8346529156,-4709589.5646765325,-10751355.604925523,8
1714443000.0,3409772.9696635124,4719142.477547291,-3631772.3873512642,3690709.7527639656,11433282.069614511,-2262764.2204166213,3209503.6009779545,-4541687.78046664,-10887310.871826109,8
1714443030.0,3485383.5332627646,4809840.814051442,-3435947.554369298,3766320.316363218,11523980.406118661,-2066939.3874346549,3281256.3292055037,-4368685.2904806435,-11018506.12797274,7
1714443060.0,3557527.0355998944,4894900.773237299,-3236298.727349582,3838463.8187003476,11609040.365304518,-1867290.5604149392,3349780.7451357534,-4190776.286858229,-11144808.648010992,7
1714443090.0,3626098.9413906257,4974243.678506765,-3033048.272627691,3907035.724491079,11688383.270573985,-1664040.1056930479,3414975.694026762,-4008161.942155841,-11266092.488538263,7
1714443120.0,3690997.419779713,5047796.546198403,-2826421.553378549,3971934.202880166,11761936.138265625,-1457413.386443906,3476742.4852024796,-3821047.529684089,-11382236.787166102,8
1714443150.0,3752124.794966265,5115493.728661521,-2616648.2695876225,4033061.5780667183,11829633.320728742,-1247640.1026529795,3534986.272719541,-3629644.0780349732,-11493127.161029402,8
1714443180.0,3809387.6498591322,5177276.866539482,-2403961.922726996,4090324.4329595855,11891416.458606701,-1034953.7557923528,3589616.160926874,-3434167.837959704,-11598655.771832054,8
1714443210.0,3862695.0836128118,5233092.768024072,-2188598.0886035697,4143631.866713265,11947232.360091291,-819589.9216689267,3640543.552184803,-3234838.1502558016,-11698719.525608381,8
1714443240.0,3911962.092945064,5282897.293302966,-1970796.8905582558,4192898.876045517,11997036.885370187,-601788.7236236129,3687685.362833415,-3031880.6763665345,-11793223.516518991,7
1714443270.0,3957107.330888054,5326652.548719724,-1750800.6363018302,4238044.113988508,12040792.140786944,-381792.46936718724,3730961.9012040077,-2825524.5015639616,-11882078.663358558,7
1714443300.0,3998053.9588254844,5364327.856623492,-1528854.2305912897,4278990.741925938,12078467.448690712,-159846.06365664676,3770297.6783658047,-2616002.7409673864,-11965202.610837653,7
1714443330.0,4034729.6460119924,5395899.549991781,-1305204.733845253,4315666.429112446,12110039.142059002,63803.43308938993,3805621.416231773,-2403552.065938634,-12042519.617184918,7
1714443360.0,4067066.681117193,5421350.968360433,-1080101.159089365,4348003.464217646,12135490.560427655,288907.0078452779,3836866.159175301,-2188412.505283928,-12113960.59550929,9
1714443390.0,4095002.283909874,5440672.828836411,-853794.2426034999,4375939.067010327,12154812.42090363,515213.92433114303,3863969.5699313474,-1970827.2976322314,-12179463.535760405,9
1714443420.0,4118478.4516467834,5453862.769373155,-626536.0445962093,4399415.234747237,12168002.361440375,742472.1223384336,3886873.7952133436,-1751042.407315433,-12238973.13160141,9
1714443450.0,4137442.3766556173,5460925.77180908,-398579.72640493826,4418379.159756071,12175065.3638763,970428.4405297047,3905525.8652455765,-1529306.3944939936,-12292441.256311687,9
