time,gps_sod,dE_m,dN_m,dU_m,d3_m,clock_m,trop_m,Cd,CR,aR,aT,aN,n_sat,ph_res_std_m,n_B_sv
2024-04-29T00:05:30,767621130.000000,0.0992,-0.0679,0.0531,0.1315,0.0000,-0.0363,2.2000,1.3000,-2.35e-05,-4.54e-04,5.70e-05,10,0.1604,11
2024-04-29T00:06:00,767621160.000000,0.0918,-0.0622,0.0474,0.1206,0.0000,-0.0369,2.2000,1.3000,-2.00e-05,-4.07e-04,5.58e-05,10,0.1557,11
2024-04-29T00:06:30,767621190.000000,0.0833,-0.0565,0.0296,0.1049,0.0000,-0.0403,2.2000,1.3000,-1.88e-05,-3.65e-04,5.30e-05,10,0.2651,11
2024-04-29T00:07:00,767621220.000000,0.0672,-0.0687,-0.0047,0.0962,0.0000,-0.0448,2.2000,1.3000,-1.69e-05,-3.27e-04,4.94e-05,11,0.2724,11
2024-04-29T00:07:30,767621250.000000,0.0616,-0.0964,-0.0288,0.1179,0.0000,-0.0452,2.2000,1.3000,-1.55e-05,-2.93e-04,4.42e-05,11,0.3289,11
2024-04-29T00:08:00,767621280.000000,0.0676,-0.0726,-0.0275,0.1029,0.0000,-0.0412,2.2000,1.3000,-1.29e-05,-2.62e-04,3.89e-05,11,0.4623,12
2024-04-29T00:08:30,767621310.000000,0.0729,-0.0697,-0.0313,0.1056,0.0000,-0.0421,2.2000,1.3000,-9.76e-06,-2.38e-04,3.27e-05,10,0.3732,12
2024-04-29T00:09:00,767621340.000000,0.0691,-0.0887,-0.0317,0.1169,0.0000,-0.0400,2.2000,1.3000,-8.50e-06,-2.12e-04,2.50e-05,10,0.2119,12
2024-04-29T00:09:30,767621370.000000,0.0789,-0.0938,-0.0237,0.1248,0.0000,-0.0404,2.2000,1.3000,-7.05e-06,-1.89e-04,1.66e-05,10,0.5157,11
2024-04-29T00:10:00,767621400.000000,0.0701,-0.1092,-0.0243,0.1320,0.0000,-0.0419,2.2000,1.3000,-5.59e-06,-1.70e-04,9.72e-06,9,0.2690,11
2024-04-29T00:10:30,767621430.000000,0.0630,-0.1223,-0.0154,0.1385,0.0000,-0.0429,2.2000,1.3000,-5.20e-06,-1.52e-04,1.44e-06,9,0.1473,11
2024-04-29T00:11:00,767621460.000000,0.0600,-0.1260,-0.0161,0.1405,0.0000,-0.0432,2.2000,1.3000,-3.96e-06,-1.37e-04,-5.08e-06,9,0.2689,11
2024-04-29T00:11:30,767621490.000000,0.0578,-0.1495,-0.0131,0.1608,0.0000,-0.0414,2.2000,1.3000,-3.89e-06,-1.23e-04,-1.08e-05,9,0.1297,11
2024-04-29T00:12:00,767621520.000000,0.0633,-0.1812,-0.0046,0.1920,0.0000,-0.0398,2.2000,1.3000,-3.11e-06,-1.09e-04,-1.59e-05,9,0.1426,11
2024-04-29T00:12:30,767621550.000000,0.0714,-0.1968,0.0049,0.2094,0.0000,-0.0393,2.2000,1.3000,-2.39e-06,-9.74e-05,-1.98e-05,9,0.5855,11
2024-04-29T00:13:00,767621580.000000,0.0401,-0.2403,0.0274,0.2452,0.0000,-0.0308,2.2000,1.3000,-2.04e-06,-8.81e-05,-2.33e-05,8,0.5756,11
2024-04-29T00:13:30,767621610.000000,0.0100,-0.2955,0.0397,0.2983,0.0000,-0.0302,2.2000,1.3000,-1.03e-06,-7.74e-05,-2.82e-05,8,0.4804,10
2024-04-29T00:14:00,767621640.000000,-0.0276,-0.3425,0.0447,0.3465,0.0000,-0.0299,2.2000,1.3000,-1.51e-06,-6.86e-05,-2.95e-05,8,0.0341,10
2024-04-29T00:14:30,767621670.000000,-0.0488,-0.3823,0.0649,0.3909,0.0000,-0.0301,2.2000,1.3000,-1.88e-06,-6.19e-05,-3.01e-05,8,0.1471,10
2024-04-29T00:15:00,767621700.000000,-0.0568,-0.4290,0.0893,0.4418,0.0000,-0.0238,2.2000,1.3000,-9.34e-07,-5.60e-05,-2.84e-05,8,0.1138,9
2024-04-29T00:15:30,767621730.000000,-0.0976,-0.4220,0.0907,0.4425,0.0000,-0.0257,2.2000,1.3000,-6.55e-07,-4.99e-05,-2.64e-05,7,0.2802,9
2024-04-29T00:16:00,767621760.000000,-0.1406,-0.3694,0.0760,0.4025,0.0000,-0.0262,2.2000,1.3000,-1.98e-06,-4.76e-05,-2.70e-05,6,0.2397,10
2024-04-29T00:16:30,767621790.000000,-0.1545,-0.2926,0.0301,0.3323,0.0000,-0.0300,2.2000,1.3000,-2.63e-06,-4.53e-05,-2.58e-05,6,0.3652,10
2024-04-29T00:17:00,767621820.000000,-0.2184,-0.2991,0.0208,0.3710,0.0000,-0.0295,2.2000,1.3000,-3.87e-06,-4.23e-05,-2.33e-05,6,0.3494,10
2024-04-29T00:17:30,767621850.000000,-0.2513,-0.3399,0.0519,0.4259,0.0000,-0.0290,2.2000,1.3000,-1.14e-06,-3.34e-05,-2.54e-05,6,0.1804,10
2024-04-29T00:18:00,767621880.000000,-0.2672,-0.3300,0.0451,0.4270,0.0000,-0.0324,2.2000,1.3000,1.32e-06,-2.81e-05,-2.30e-05,6,0.1147,9
2024-04-29T00:18:30,767621910.000000,-0.2970,-0.3414,0.0353,0.4539,0.0000,-0.0367,2.2000,1.3000,-9.71e-07,-2.79e-05,-2.08e-05,6,0.2635,9
2024-04-29T00:19:00,767621940.000000,-0.3407,-0.3627,0.0303,0.4986,0.0000,-0.0411,2.2000,1.3000,-1.03e-06,-2.40e-05,-1.90e-05,6,0.1546,9
2024-04-29T00:19:30,767621970.000000,-0.3795,-0.3894,0.0436,0.5454,0.0000,-0.0426,2.2000,1.3000,-6.73e-07,-2.12e-05,-1.56e-05,7,0.3554,9
2024-04-29T00:20:00,767622000.000000,-0.4002,-0.3942,0.0091,0.5619,0.0000,-0.0502,2.2000,1.3000,3.72e-07,-1.90e-05,-9.58e-06,8,0.4411,8
2024-04-29T00:20:30,767622030.000000,-0.4044,-0.3968,0.0141,0.5667,0.0000,-0.0427,2.2000,1.3000,-2.36e-06,-1.85e-05,-1.98e-06,8,0.2866,8
2024-04-29T00:21:00,767622060.000000,-0.4589,-0.4550,0.0861,0.6520,0.0000,-0.0346,2.2000,1.3000,1.49e-08,-1.73e-05,5.78e-06,8,0.5950,8
2024-04-29T00:21:30,767622090.000000,-0.4771,-0.4551,0.0658,0.6627,0.0000,-0.0399,2.2000,1.3000,3.83e-06,-1.26e-05,9.70e-06,8,0.2573,8
2024-04-29T00:22:00,767622120.000000,-0.5211,-0.4889,0.0769,0.7187,0.0000,-0.0402,2.2000,1.3000,-1.77e-06,-1.46e-05,1.78e-05,8,1.2185,8
2024-04-29T00:22:30,767622150.000000,-0.5555,-0.5019,0.0436,0.7499,0.0000,-0.0448,2.2000,1.3000,2.17e-08,-1.16e-05,2.18e-05,8,1.5210,8
2024-04-29T00:23:00,767622180.000000,-0.6004,-0.5222,0.0321,0.7964,0.0000,-0.0464,2.2000,1.3000,-2.50e-06,-1.18e-05,2.68e-05,7,0.7825,8
2024-04-29T00:23:30,767622210.000000,-0.6189,-0.5277,0.0300,0.8139,0.0000,-0.0486,2.2000,1.3000,-1.13e-06,-1.05e-05,2.97e-05,6,0.4251,8
2024-04-29T00:24:00,767622240.000000,-0.6577,-0.5468,0.0133,0.8554,0.0000,-0.0522,2.2000,1.3000,-5.19e-07,-1.06e-05,3.35e-05,6,0.2350,8
2024-04-29T00:24:30,767622270.000000,-0.6934,-0.5611,0.0019,0.8920,0.0000,-0.0551,2.2000,1.3000,-1.26e-06,-8.84e-06,3.36e-05,7,0.4197,8
2024-04-29T00:25:00,767622300.000000,-0.7431,-0.5789,-0.0264,0.9423,0.0000,-0.0590,2.2000,1.3000,-9.10e-07,-8.33e-06,3.40e-05,7,0.5408,8
2024-04-29T00:25:30,767622330.000000,-0.7771,-0.5858,-0.0485,0.9743,0.0000,-0.0628,2.2000,1.3000,-1.78e-06,-7.34e-06,3.27e-05,7,0.4247,9
2024-04-29T00:26:00,767622360.000000,-0.8305,-0.6214,-0.0668,1.0394,0.0000,-0.0675,2.2000,1.3000,-1.33e-06,-7.35e-06,3.24e-05,7,0.4392,9
2024-04-29T00:26:30,767622390.000000,-0.8733,-0.6617,-0.0691,1.0979,0.0000,-0.0694,2.2000,1.3000,-9.74e-07,-5.05e-06,2.99e-05,7,0.4707,9
2024-04-29T00:27:00,767622420.000000,-0.9199,-0.6951,-0.0565,1.1544,0.0000,-0.0725,2.2000,1.3000,-8.16e-08,-4.31e-06,2.88e-05,7,0.3114,9
2024-04-29T00:27:30,767622450.000000,-0.9592,-0.7287,-0.0310,1.2050,0.0000,-0.0733,2.2000,1.3000,6.52e-07,-4.22e-06,2.69e-05,7,0.6533,9
2024-04-29T00:28:00,767622480.000000,-1.0036,-0.7748,-0.0266,1.2681,0.0000,-0.0739,2.2000,1.3000,1.23e-06,-3.73e-06,2.57e-05,7,0.7941,8
2024-04-29T00:28:30,767622510.000000,-1.0487,-0.8188,-0.0013,1.3305,0.0000,-0.0740,2.2000,1.3000,-1.50e-07,-2.53e-06,2.39e-05,6,0.4778,7
2024-04-29T00:29:00,767622540.000000,-1.1166,-0.8651,0.0058,1.4125,0.0000,-0.0748,2.2000,1.3000,8.45e-07,-2.32e-06,2.27e-05,6,0.2697,7
2024-04-29T00:29:30,767622570.000000,-1.1762,-0.8804,0.0418,1.4698,0.0000,-0.0713,2.2000,1.3000,-3.76e-07,-1.83e-06,2.08e-05,6,1.1384,7
2024-04-29T00:30:00,767622600.000000,-1.1958,-0.9088,0.0932,1.5048,0.0000,-0.0722,2.2000,1.3000,1.09e-06,-3.37e-06,2.10e-05,5,0.8852,7
